epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3613,0.83335,4.5768,1.06921,0.03995,0.75296,0.11372,0.10361,0.46299,3.13073,0.88054,6.003e-05,6.003e-05,6.003e-05
2,26.6231,0.71476,2.55799,1.04748,0.31913,0.62189,0.47907,0.43885,0.40956,3.69839,0.85037,0.000124639,0.000124639,0.000124639
3,30.1781,0.66561,1.82547,0.98132,0.55719,0.71468,0.70884,0.65477,0.44224,2.14985,0.8492,0.000187047,0.000187047,0.000187047
4,33.6329,0.64024,1.88252,0.9605,0.71742,0.80276,0.82736,0.75083,0.45077,1.29236,0.85635,0.000247254,0.000247254,0.000247254
5,37.133,0.64988,1.1424,0.92351,0.8661,0.77838,0.89306,0.81851,0.46375,0.91938,0.86462,0.000305259,0.000305259,0.000305259
6,41.0131,0.68415,1.04153,0.94817,0.77324,0.88994,0.8898,0.81315,0.47961,0.85789,0.86288,0.000361064,0.000361064,0.000361064
7,44.1498,0.62412,0.88264,0.93602,0.89023,0.84787,0.8892,0.8057,0.46334,0.75423,0.849,0.000414667,0.000414667,0.000414667
8,47.6275,0.62924,0.79562,0.92779,0.85761,0.75411,0.8316,0.76439,0.45948,0.92335,0.83342,0.00046607,0.00046607,0.00046607
9,51.2504,0.61421,0.72456,0.93249,0.90502,0.87132,0.92618,0.85756,0.44889,0.62079,0.84317,0.000515271,0.000515271,0.000515271
10,54.951,0.62056,0.70139,0.94363,0.80718,0.81789,0.90209,0.83223,0.46612,0.73542,0.8606,0.000562271,0.000562271,0.000562271
11,58.1981,0.57811,0.60619,0.91787,0.93176,0.88956,0.94899,0.87184,0.50427,0.60645,0.86935,0.000556945,0.000556945,0.000556945
12,61.4922,0.63246,0.61691,0.93075,0.90963,0.86692,0.94029,0.86913,0.45092,0.6059,0.85264,0.00054594,0.00054594,0.00054594
13,65.4853,0.68832,0.79715,0.94352,0.9037,0.84354,0.92127,0.82629,0.50265,0.70216,0.86845,0.000534934,0.000534934,0.000534934
14,68.7121,0.57745,0.59014,0.89581,0.91836,0.90425,0.93834,0.85957,0.46007,0.53864,0.85986,0.000523928,0.000523928,0.000523928
15,72.0064,0.60791,0.5907,0.96119,0.90285,0.87627,0.92584,0.85462,0.45619,0.56577,0.85866,0.000512923,0.000512923,0.000512923
16,75.2859,0.59037,0.55088,0.93133,0.88118,0.87464,0.92963,0.85115,0.43914,0.58855,0.84884,0.000501917,0.000501917,0.000501917
17,79.1878,0.60713,0.60055,0.93743,0.86816,0.90588,0.93942,0.85245,0.45505,0.5491,0.85629,0.000490912,0.000490912,0.000490912
18,82.4777,0.63363,0.73032,0.95162,0.89978,0.8788,0.92479,0.84788,0.46415,0.56615,0.85666,0.000479907,0.000479907,0.000479907
19,85.7099,0.62668,0.55445,0.97315,0.88635,0.86125,0.92774,0.85187,0.45539,0.60118,0.85405,0.000468901,0.000468901,0.000468901
20,89.4439,0.56577,0.497,0.91762,0.92442,0.9169,0.95145,0.88225,0.42725,0.48139,0.8431,0.000457895,0.000457895,0.000457895
21,93.1757,0.5566,0.48182,0.89591,0.92181,0.93308,0.95657,0.88147,0.42573,0.46402,0.85437,0.00044689,0.00044689,0.00044689
22,96.4178,0.54754,0.53384,0.91639,0.91228,0.9359,0.95014,0.86618,0.42902,0.46915,0.84591,0.000435884,0.000435884,0.000435884
23,99.6996,0.59477,0.47558,0.94772,0.93072,0.92482,0.9479,0.87521,0.41337,0.43222,0.83996,0.000424879,0.000424879,0.000424879
24,103.828,0.518,0.44553,0.91175,0.94026,0.93364,0.94755,0.88107,0.40476,0.39968,0.84045,0.000413873,0.000413873,0.000413873
25,107.12,0.58183,0.47802,0.91378,0.91252,0.9255,0.94482,0.88437,0.40626,0.42274,0.84166,0.000402868,0.000402868,0.000402868
26,110.461,0.53947,0.46728,0.92391,0.91429,0.89781,0.94743,0.87098,0.41521,0.44514,0.84161,0.000391862,0.000391862,0.000391862
27,113.689,0.53457,0.41986,0.90977,0.94554,0.93225,0.95406,0.88347,0.41928,0.36987,0.84613,0.000380857,0.000380857,0.000380857
28,117.652,0.58266,0.46097,0.95827,0.94174,0.92205,0.95647,0.89869,0.41095,0.42969,0.8397,0.000369851,0.000369851,0.000369851
29,120.884,0.61344,0.48727,0.97834,0.93569,0.90137,0.93343,0.85608,0.42472,0.45033,0.84128,0.000358846,0.000358846,0.000358846
30,124.273,0.50524,0.40838,0.90639,0.93377,0.89474,0.92426,0.85768,0.40974,0.48171,0.83575,0.00034784,0.00034784,0.00034784
31,127.85,0.53051,1.06786,0.8799,0.93197,0.89138,0.92458,0.8593,0.41476,0.49269,0.8391,0.000336835,0.000336835,0.000336835
32,131.576,0.51214,0.42037,0.89536,0.91528,0.89326,0.94018,0.88035,0.39934,0.48194,0.83054,0.000325829,0.000325829,0.000325829
33,134.891,0.51773,0.42176,0.89143,0.93813,0.89814,0.94627,0.88102,0.3997,0.44659,0.83404,0.000314824,0.000314824,0.000314824
34,138.178,0.5109,0.42736,0.89416,0.95391,0.91112,0.94388,0.86831,0.43491,0.46777,0.84252,0.000303818,0.000303818,0.000303818
35,142.241,0.49363,0.4011,0.88,0.932,0.89074,0.94179,0.87523,0.40073,0.46734,0.83162,0.000292813,0.000292813,0.000292813
36,145.726,0.47169,0.38487,0.88089,0.93944,0.88029,0.94171,0.88531,0.39143,0.44215,0.83451,0.000281807,0.000281807,0.000281807
37,148.983,0.49443,0.39091,0.90563,0.95178,0.91581,0.94764,0.8774,0.41555,0.40403,0.83998,0.000270802,0.000270802,0.000270802
38,152.272,0.49795,0.40975,0.90437,0.95231,0.94364,0.95663,0.90081,0.39708,0.40521,0.83833,0.000259796,0.000259796,0.000259796
39,156.22,0.49815,0.39961,0.90147,0.93071,0.94107,0.95558,0.8944,0.4081,0.41218,0.84114,0.000248791,0.000248791,0.000248791
40,159.48,0.47532,0.37466,0.87925,0.94599,0.93477,0.94608,0.873,0.42752,0.42499,0.84759,0.000237785,0.000237785,0.000237785
41,162.953,0.5095,0.39222,0.90464,0.94269,0.9226,0.94537,0.88735,0.40423,0.44789,0.84139,0.00022678,0.00022678,0.00022678
42,166.694,0.48564,0.38367,0.90529,0.95505,0.92094,0.95149,0.89274,0.38406,0.40918,0.83948,0.000215774,0.000215774,0.000215774
43,170.212,0.44645,0.33481,0.88195,0.93199,0.93459,0.95076,0.89001,0.38682,0.40987,0.8366,0.000204769,0.000204769,0.000204769
44,173.54,0.47364,0.37683,0.87953,0.93629,0.93507,0.94912,0.88746,0.37708,0.41265,0.83686,0.000193763,0.000193763,0.000193763
45,176.851,0.45407,0.35148,0.87366,0.93141,0.93372,0.95013,0.88886,0.38838,0.41614,0.839,0.000182758,0.000182758,0.000182758
46,180.914,0.44664,0.37587,0.89053,0.93198,0.92744,0.94734,0.88718,0.38761,0.41375,0.83645,0.000171752,0.000171752,0.000171752
